User ID: 57004-54761

Trial                  Virus                             Units
---------------------------------------------------------------
001                  VJN-37687                            106
002                  NMA-58554                             16
003                  LZL-53762                             10
004                  VXR-68924                             20
005                  ZPF-96697                            149
006                  PZV-75529                            196
007                  DHY-22445                             95
008                  TNA-63396                            111
009                  XRT-73276                            132
010                  PHE-99329                             38
011                  RGZ-73449                             67
012                  PNF-53949                            199
013                  EPX-87469                             74
014                  NHP-43928                            133
015                  LNC-68448                            129
016                  CDC-36833                            150
017                  LNC-68448                            189
018                  YLW-92835                            120
019                  KWH-94256                             24
020                  HZF-45469                             55
021                  NWL-28282                            161
022                  TNA-63396                            178
023                  EPX-87469                            162
024                  WBB-69295                            175
025                  NVE-67597                            147
026                  TNA-63396                            134
027                  PNF-53949                             64
028                  URL-32968                              7
029                  WBB-69295                            144
030                  KMP-52243                             31
031                  TNG-52497                            186
032                  LNC-68448                             41
033                  ZXB-54692                             26
034                  CQS-93978                             58
035                  GUJ-74444                             11
036                  NVE-67597                             56
037                  KQA-89952                             42
038                  VJN-37687                             69
039                  TRM-27792                            104
040                  XJQ-35789                            183
041                  PZV-75529                             82
042                  VXR-68924                             92
043                  BTN-83953                             88
044                  QBZ-39849                            109
045                  VWM-74278                             37
046                  WQM-46249                             80
047                  NMA-58554                            198
048                  HCY-32686                             23
049                  HCY-32686                             47
050                  VXR-68924                             30
051                  CDC-36833                             52
052                  GZN-34688                             29
053                  PZV-75529                             65
054                  RLT-57887                             17
055                  DHY-22445                            173
056                  DAU-26394                             62
057                  NHP-43928                             78
058                  HZF-45469                            181
059                  KMP-52243                             77
060                  BCU-27839                             96
061                  KLA-57296                            128
062                  YLW-92835                            200
063                  YXL-38878                            179
064                  GBK-45859                             39
065                  HKZ-33728                            125
066                  WQB-83823                            142
067                  DAU-26394                            107
068                  TLT-23593                            194
069                  GMS-89977                            140
070                  CQS-93978                            159
071                  ZHA-83572                             90
072                  TNG-52497                            100
073                  RLT-57887                             15
074                  SZA-87265                             22
075                  ZPF-96697                             84
076                  NVE-67597                              1
077                  YLW-92835                             46
078                  RLT-57887                            127
079                  KMP-52243                             18
080                  WQM-46249                            121
081                  GUJ-74444                              8
082                  NVE-67597                            116
083                  YLW-92835                             94
084                  ZXB-54692                             32
085                  DAU-26394                            182
086                  JVL-65247                            113
087                  CQS-93978                             98
088                  AJA-56777                            143
089                  TRM-27792                            138
090                  VXR-68924                            195
091                  HKZ-33728                            124
092                  WMD-65834                            170
093                  PWT-38779                             83
094                  ZHA-83572                             48
095                  GZN-34688                             93
096                  KMP-52243                             19
097                  AJA-56777                            154
098                  ANR-65636                             21
099                  CPU-63784                             87
100                  RGZ-73449                             72
