User ID: 70401-80000

Trial                  Virus                             Units
---------------------------------------------------------------
001                  XRT-73276                             70
002                  ANR-65636                            162
003                  GZN-34688                             49
004                  JVL-65247                            147
005                  TNX-51117                            110
006                  BTN-83953                             76
007                  BCU-27839                            115
008                  NVE-67597                            164
009                  PQJ-67335                            188
010                  AAV-93236                            165
011                  TNX-51117                             66
012                  ZKV-31415                             31
013                  FNL-93857                            150
014                  CQS-93978                             28
015                  PNF-53949                            166
016                  LZL-53762                            144
017                  GBK-45859                            198
018                  SPN-64546                            156
019                  WQM-46249                             57
020                  LZL-53762                            176
021                  KQA-89952                            112
022                  XRT-73276                            161
023                  GMS-89977                             95
024                  RGZ-73449                             33
025                  ZPF-96697                            141
026                  VWM-74278                            151
027                  ANR-65636                            131
028                  NHP-43928                            129
029                  ZKV-31415                             63
030                  YXL-38878                             19
031                  HCY-32686                             43
032                  NXD-76943                             25
033                  ANR-65636                            108
034                  WQM-46249                            185
035                  TXF-47848                             97
036                  XBC-95594                            114
037                  SPN-64546                            139
038                  GUJ-74444                            184
039                  KMP-52243                              2
040                  KDV-97563                            145
041                  ZKV-31415                             38
042                  LWR-78574                             27
043                  TRM-27792                            104
044                  LWR-78574                             34
045                  NHP-43928                            103
046                  NWL-28282                             44
047                  TRM-27792                            105
048                  CCG-95482                            154
049                  ZHA-83572                             86
050                  PHE-99329                            140
051                  WMD-65834                            111
052                  FYK-67999                            190
053                  KDV-97563                             47
054                  FNR-28782                            125
055                  TLT-23593                              6
056                  DAU-26394                             35
057                  WQB-83823                             23
058                  LZL-53762                             24
059                  HZF-45469                              1
060                  WQB-83823                            170
061                  NHP-43928                             20
062                  RLT-57887                             77
063                  DHY-22445                            119
064                  WQB-83823                             32
065                  XBC-95594                            177
066                  LNC-68448                             40
067                  TNG-52497                            191
068                  TQC-49936                            107
069                  CCG-95482                             50
070                  GZN-34688                            152
071                  KDV-97563                             75
072                  SZA-87265                            128
073                  BTN-83953                            118
074                  YBD-67688                             15
075                  NMA-58554                            173
076                  KQA-89952                             84
077                  NHP-43928                             48
078                  YXL-38878                             64
079                  LWR-78574                             21
080                  NWL-28282                             22
081                  ZXB-54692                             45
082                  SPN-64546                             69
083                  TXF-47848                            134
084                  EFG-46945                             36
085                  NXD-76943                            189
086                  EFG-46945                            142
087                  SPN-64546                             17
088                  KMP-52243                             82
089                  RGZ-73449                             93
090                  HCY-32686                            122
091                  WQM-46249                             14
092                  YLW-92835                            137
093                  EPX-87469                            167
094                  GBK-45859                            117
095                  RLT-57887                            175
096                  XKG-42573                             62
097                  NHP-43928                            116
098                  WBB-69295                             51
099                  JVL-65247                             12
100                  YXL-38878                            143
