User ID: 53307-18031

Trial                  Virus                             Units
---------------------------------------------------------------
001                  WQB-83823                            149
002                  RGZ-73449                             45
003                  XBC-95594                            150
004                  HVE-32966                             44
005                  LNC-68448                            117
006                  HVX-35287                            156
007                  JPJ-26459                            187
008                  PWT-38779                             19
009                  VWM-74278                             30
010                  FNL-93857                            105
011                  GBK-45859                             80
012                  YXL-38878                            151
013                  DHY-22445                            116
014                  YLW-92835                            121
015                  XJQ-35789                             99
016                  VJN-37687                             12
017                  EPX-87469                              2
018                  HCY-32686                            200
019                  XJQ-35789                            115
020                  EPX-87469                            138
021                  VXR-68924                             97
022                  RLT-57887                            145
023                  KQA-89952                            113
024                  YXL-38878                            199
025                  TRM-27792                            182
026                  WQB-83823                             77
027                  HZF-45469                            167
028                  NVE-67597                             49
029                  WMD-65834                             15
030                  WQM-46249                            171
031                  HZF-45469                            109
032                  FYK-67999                             39
033                  VWM-74278                             89
034                  YXL-38878                            192
035                  GUJ-74444                            104
036                  WQB-83823                            195
037                  YLW-92835                            112
038                  VWM-74278                             16
039                  PZV-75529                            198
040                  CPU-63784                            135
041                  CCG-95482                             14
042                  ZPF-96697                            165
043                  GMS-89977                            114
044                  XRT-73276                            175
045                  FNL-93857                             41
046                  TRM-27792                            179
047                  JVL-65247                             43
048                  FNR-28782                            110
049                  QBZ-39849                             86
050                  DHY-22445                            103
051                  AJA-56777                             71
052                  LNC-68448                            120
053                  CPU-63784                             75
054                  NWL-28282                             47
055                  URL-32968                            177
056                  QBD-79865                            136
057                  NWL-28282                             74
058                  TLT-23593                             59
059                  AAV-93236                             92
060                  AAV-93236                            124
061                  YLW-92835                             37
062                  HCY-32686                              7
063                  ZHA-83572                             78
064                  SPN-64546                             98
065                  BTN-83953                            163
066                  GZN-34688                             83
067                  WQB-83823                            186
068                  KQA-89952                            129
069                  PQJ-67335                             29
070                  XJQ-35789                            111
071                  ZPF-96697                            127
072                  WBB-69295                             56
073                  AAV-93236                            102
074                  QBD-79865                             33
075                  ZHA-83572                             82
076                  WQM-46249                              8
077                  HNB-76282                            134
078                  EPX-87469                            155
079                  PQJ-67335                             65
080                  GZN-34688                            131
081                  QBZ-39849                            174
082                  KWH-94256                             34
083                  URL-32968                            146
084                  GZN-34688                            140
085                  KMP-52243                             73
086                  PZV-75529                            181
087                  TNA-63396                            189
088                  ZXB-54692                             52
089                  FNR-28782                            148
090                  FNL-93857                            152
091                  TLT-23593                             46
092                  GBK-45859                             95
093                  FTD-84699                             11
094                  VJN-37687                            108
095                  ZXB-54692                             70
096                  NMA-58554                            126
097                  NXD-76943                            184
098                  TNX-51117                            101
099                  XBC-95594                             42
100                  TLT-23593                            122
