User ID: 01524-65380

Trial                  Virus                             Units
---------------------------------------------------------------
001                  LNC-68448                            137
002                  FYK-67999                            126
003                  PWT-38779                            169
004                  TQC-49936                            171
005                  KWH-94256                             82
006                  BCU-27839                             81
007                  WBB-69295                             25
008                  PWT-38779                            148
009                  JYL-79355                            147
010                  AJA-56777                             40
011                  FYK-67999                             98
012                  ZPF-96697                            191
013                  GBK-45859                            199
014                  GBK-45859                              4
015                  XRT-73276                            152
016                  AJA-56777                            194
017                  HKZ-33728                            118
018                  WMD-65834                             35
019                  NMA-58554                              8
020                  ZPF-96697                            197
021                  URL-32968                             92
022                  KMP-52243                            190
023                  PZV-75529                            198
024                  BCU-27839                            125
025                  GMS-89977                             62
026                  CQS-93978                            107
027                  TRM-27792                            167
028                  CDC-36833                            117
029                  ZHA-83572                             94
030                  KDV-97563                            130
031                  PQJ-67335                            151
032                  GBK-45859                              1
033                  NWL-28282                             26
034                  YLW-92835                              2
035                  KLA-57296                             23
036                  NXD-76943                            200
037                  XJQ-35789                            149
038                  LZL-53762                             88
039                  YXL-38878                            112
040                  FYK-67999                             84
041                  GZN-34688                             66
042                  TQC-49936                            111
043                  QBD-79865                             70
044                  ZKV-31415                            100
045                  NXD-76943                            161
046                  AJA-56777                            180
047                  SPN-64546                            188
048                  YMA-56284                            186
049                  JYL-79355                            113
050                  KMP-52243                             71
051                  JPJ-26459                            143
052                  KDV-97563                            136
053                  HZF-45469                            184
054                  SZA-87265                            183
055                  RGZ-73449                             49
056                  WBB-69295                            141
057                  PZV-75529                             17
058                  YLW-92835                            187
059                  VJN-37687                             79
060                  YBD-67688                             27
061                  KQA-89952                             12
062                  DHY-22445                            179
063                  NMA-58554                             73
064                  DHY-22445                             41
065                  DAU-26394                             69
066                  HVX-35287                            123
067                  NVE-67597                             28
068                  KDV-97563                             99
069                  PZV-75529                             11
070                  TLT-23593                            172
071                  RGZ-73449                             36
072                  WBB-69295                            120
073                  KDV-97563                            195
074                  XJQ-35789                            155
075                  HVX-35287                            115
076                  HNB-76282                            192
077                  KDV-97563                             67
078                  CDC-36833                            181
079                  VJN-37687                             76
080                  ZPF-96697                             50
081                  JVL-65247                             61
082                  LNC-68448                            164
083                  JVL-65247                            150
084                  PNF-53949                            173
085                  AAV-93236                            162
086                  QBZ-39849                             44
087                  CPU-63784                             60
088                  WQM-46249                             51
089                  FTD-84699                             13
090                  CPU-63784                            124
091                  BTN-83953                             15
092                  XBC-95594                            102
093                  HNB-76282                             56
094                  TQC-49936                             64
095                  BTN-83953                              3
096                  JPJ-26459                            189
097                  FTD-84699                             85
098                  HCY-32686                             80
099                  KLA-57296                            129
100                  TLT-23593                            139
