User ID: 76394-56172

Trial                  Virus                             Units
---------------------------------------------------------------
001                  FTD-84699                             42
002                  WQB-83823                             61
003                  YLW-92835                              2
004                  JVL-65247                            118
005                  HCY-32686                             92
006                  TNX-51117                            153
007                  DAU-26394                             15
008                  NHP-43928                            160
009                  KWH-94256                            165
010                  SPN-64546                            189
011                  XBC-95594                            167
012                  SPN-64546                            139
013                  HNB-76282                             80
014                  NXD-76943                             58
015                  TNG-52497                            169
016                  XRT-73276                            110
017                  AJA-56777                            134
018                  HVX-35287                            161
019                  CDC-36833                            138
020                  EPX-87469                            198
021                  TNG-52497                            115
022                  EFG-46945                             45
023                  GBK-45859                            156
024                  HVE-32966                            104
025                  TNA-63396                              9
026                  TXF-47848                            197
027                  URL-32968                             67
028                  HVX-35287                             87
029                  WQM-46249                            106
030                  RLT-57887                             93
031                  TRM-27792                             68
032                  EFG-46945                            180
033                  CQS-93978                             75
034                  WQM-46249                             52
035                  YXL-38878                            178
036                  EPX-87469                            170
037                  XBC-95594                            150
038                  KLA-57296                             38
039                  WBB-69295                            175
040                  LWR-78574                              6
041                  BCU-27839                            133
042                  WQB-83823                            168
043                  HVE-32966                            186
044                  CQS-93978                             95
045                  YLW-92835                             47
046                  HNB-76282                            179
047                  NMA-58554                             62
048                  FTD-84699                             94
049                  NXD-76943                             96
050                  PQJ-67335                            107
051                  CQS-93978                            177
052                  PQJ-67335                             81
053                  NWL-28282                            105
054                  HKZ-33728                            121
055                  CDC-36833                            116
056                  VJN-37687                             79
057                  HCY-32686                             46
058                  NVE-67597                             86
059                  YLW-92835                            113
060                  HVE-32966                             22
061                  LNC-68448                             18
062                  HZF-45469                             82
063                  QBZ-39849                            141
064                  YXL-38878                             55
065                  XKG-42573                             90
066                  GUJ-74444                            135
067                  WQB-83823                            152
068                  BTN-83953                            119
069                  ZPF-96697                              8
070                  ZHA-83572                            127
071                  ZHA-83572                             84
072                  TNG-52497                              4
073                  FYK-67999                            188
074                  AJA-56777                             78
075                  KMP-52243                             23
076                  GMS-89977                            164
077                  NXD-76943                            129
078                  VWM-74278                            146
079                  YLW-92835                            166
080                  YBD-67688                             16
081                  PHE-99329                            196
082                  PQJ-67335                             29
083                  KLA-57296                            132
084                  HNB-76282                            140
085                  BTN-83953                             10
086                  LWR-78574                            174
087                  CCG-95482                             60
088                  TNX-51117                             74
089                  YXL-38878                             54
090                  NVE-67597                             69
091                  EFG-46945                             51
092                  TQC-49936                             13
093                  LZL-53762                            117
094                  NHP-43928                             56
095                  CDC-36833                             14
096                  WMD-65834                             12
097                  TNA-63396                             36
098                  FNR-28782                             98
099                  HNB-76282                             77
100                  TNG-52497                             97
