User ID: 49650-25644

Trial                  Virus                             Units
---------------------------------------------------------------
001                  DHY-22445                             12
002                  XRT-73276                            159
003                  LZL-53762                            169
004                  HKZ-33728                             72
005                  WMD-65834                             37
006                  NMA-58554                            158
007                  RGZ-73449                            112
008                  AJA-56777                            109
009                  ZXB-54692                            181
010                  NMA-58554                            156
011                  PNF-53949                             99
012                  WQM-46249                            138
013                  XKG-42573                            120
014                  TNG-52497                             48
015                  PHE-99329                            161
016                  PZV-75529                             61
017                  CPU-63784                             63
018                  CPU-63784                            194
019                  VXR-68924                            151
020                  TNA-63396                            115
021                  TLT-23593                             35
022                  BTN-83953                             60
023                  PHE-99329                            110
024                  NXD-76943                             82
025                  NHP-43928                             88
026                  URL-32968                            182
027                  HNB-76282                             13
028                  XJQ-35789                            139
029                  SZA-87265                             85
030                  TLT-23593                             89
031                  HZF-45469                            183
032                  KWH-94256                            116
033                  JPJ-26459                            136
034                  JVL-65247                             26
035                  CPU-63784                             43
036                  PHE-99329                            105
037                  FTD-84699                            193
038                  TXF-47848                             55
039                  KWH-94256                             52
040                  TNX-51117                             40
041                  HNB-76282                             77
042                  NXD-76943                             58
043                  KDV-97563                             94
044                  XBC-95594                            172
045                  QBD-79865                             59
046                  RGZ-73449                            166
047                  EFG-46945                            123
048                  EFG-46945                             49
049                  KQA-89952                             46
050                  XJQ-35789                            152
051                  TRM-27792                            174
052                  TXF-47848                              3
053                  WBB-69295                             34
054                  GZN-34688                            128
055                  PNF-53949                             67
056                  HNB-76282                            143
057                  SPN-64546                            195
058                  TRM-27792                             54
059                  YMA-56284                            188
060                  LNC-68448                            106
061                  BTG-65524                            140
062                  BTN-83953                             21
063                  TNX-51117                            185
064                  NVE-67597                            131
065                  AAV-93236                            198
066                  AAV-93236                            113
067                  BCU-27839                            149
068                  CQS-93978                             25
069                  ZHA-83572                             73
070                  HCY-32686                            119
071                  HVX-35287                             62
072                  XJQ-35789                              8
073                  JYL-79355                             10
074                  ANR-65636                             64
075                  NHP-43928                             56
076                  SPN-64546                            147
077                  JYL-79355                            190
078                  HVE-32966                             71
079                  LWR-78574                             80
080                  NHP-43928                            121
081                  TQC-49936                             65
082                  ZPF-96697                            189
083                  VXR-68924                             76
084                  HZF-45469                            111
085                  EFG-46945                            186
086                  HZF-45469                            129
087                  ZKV-31415                             17
088                  LZL-53762                             29
089                  CCG-95482                            141
090                  BTG-65524                              2
091                  FTD-84699                            117
092                  YXL-38878                            155
093                  FNR-28782                             57
094                  ANR-65636                            197
095                  TQC-49936                            124
096                  PWT-38779                            162
097                  AAV-93236                            176
098                  EPX-87469                            125
099                  XKG-42573                             44
100                  KWH-94256                              6
