User ID: 03335-55237

Trial                  Virus                             Units
---------------------------------------------------------------
001                  NHP-43928                            192
002                  BMN-57337                             82
003                  FNL-93857                            199
004                  PWT-38779                             69
005                  WQB-83823                            162
006                  EFG-46945                            193
007                  QBZ-39849                             58
008                  TNX-51117                            126
009                  KLA-57296                            175
010                  URL-32968                            156
011                  YBD-67688                            130
012                  VXR-68924                             86
013                  WQB-83823                             77
014                  HVX-35287                             47
015                  TNG-52497                            105
016                  XRT-73276                            181
017                  KMP-52243                            122
018                  TQC-49936                            118
019                  KDV-97563                            183
020                  QBD-79865                             27
021                  JVL-65247                            165
022                  PWT-38779                            200
023                  QBD-79865                            153
024                  XKG-42573                             61
025                  KWH-94256                             30
026                  DAU-26394                              3
027                  YLW-92835                            146
028                  BCU-27839                             76
029                  YLW-92835                             84
030                  WQM-46249                             71
031                  NWL-28282                            168
032                  QBD-79865                             88
033                  YXL-38878                             24
034                  ZKV-31415                            131
035                  NMA-58554                             23
036                  GBK-45859                            103
037                  KLA-57296                             93
038                  BCU-27839                            129
039                  HVE-32966                             28
040                  DAU-26394                            145
041                  PQJ-67335                            117
042                  TNA-63396                              9
043                  BMN-57337                             20
044                  XRT-73276                             18
045                  KMP-52243                             21
046                  KMP-52243                            109
047                  JVL-65247                              7
048                  KLA-57296                            124
049                  NHP-43928                            171
050                  CDC-36833                            158
051                  GUJ-74444                             63
052                  QBD-79865                              4
053                  GBK-45859                            116
054                  FYK-67999                             78
055                  GZN-34688                            133
056                  GMS-89977                            123
057                  HKZ-33728                             41
058                  WQM-46249                            107
059                  HVX-35287                            114
060                  ANR-65636                            106
061                  PNF-53949                            198
062                  GMS-89977                              2
063                  PHE-99329                             37
064                  FNL-93857                              8
065                  NVE-67597                              1
066                  JVL-65247                            127
067                  YBD-67688                            110
068                  FTD-84699                            121
069                  ANR-65636                            180
070                  AJA-56777                             87
071                  RLT-57887                             51
072                  NXD-76943                             74
073                  WMD-65834                            185
074                  XKG-42573                             49
075                  XKG-42573                            139
076                  BCU-27839                            176
077                  LZL-53762                            149
078                  VWM-74278                            161
079                  GBK-45859                            157
080                  DHY-22445                             59
081                  JVL-65247                             36
082                  NWL-28282                             34
083                  NXD-76943                             12
084                  ZKV-31415                            100
085                  NVE-67597                            154
086                  BTG-65524                             33
087                  WQB-83823                            152
088                  XRT-73276                             43
089                  NVE-67597                            177
090                  WQM-46249                             99
091                  NVE-67597                            186
092                  HCY-32686                             81
093                  DAU-26394                            169
094                  PZV-75529                             10
095                  ZXB-54692                            136
096                  SZA-87265                            160
097                  BTN-83953                             62
098                  JPJ-26459                             89
099                  SZA-87265                             57
100                  DHY-22445                            111
