User ID: 69282-33425

Trial                  Virus                             Units
---------------------------------------------------------------
001                  PWT-38779                             44
002                  FYK-67999                            128
003                  YMA-56284                            153
004                  NMA-58554                            155
005                  NWL-28282                             12
006                  ANR-65636                            143
007                  CCG-95482                             35
008                  ZPF-96697                             25
009                  QBD-79865                             99
010                  PNF-53949                            108
011                  FTD-84699                             49
012                  TNX-51117                            166
013                  JYL-79355                            168
014                  HKZ-33728                            106
015                  GMS-89977                            149
016                  GUJ-74444                            186
017                  KWH-94256                            105
018                  EPX-87469                             18
019                  HVX-35287                             19
020                  ZHA-83572                             59
021                  HKZ-33728                             67
022                  CDC-36833                             48
023                  YLW-92835                             20
024                  QBD-79865                             38
025                  KLA-57296                             33
026                  HZF-45469                             92
027                  VWM-74278                             70
028                  HCY-32686                              9
029                  JYL-79355                            100
030                  HKZ-33728                             13
031                  VJN-37687                              4
032                  QBD-79865                            184
033                  ZKV-31415                            135
034                  JPJ-26459                             15
035                  XJQ-35789                            165
036                  ZHA-83572                             65
037                  HCY-32686                             27
038                  DAU-26394                             42
039                  YMA-56284                            145
040                  TRM-27792                             91
041                  ZKV-31415                             39
042                  HZF-45469                            187
043                  YLW-92835                            193
044                  TXF-47848                            198
045                  YLW-92835                             60
046                  NXD-76943                            125
047                  SZA-87265                             37
048                  DHY-22445                            162
049                  VXR-68924                            176
050                  BTN-83953                            129
051                  BTN-83953                            172
052                  AAV-93236                              1
053                  YLW-92835                            107
054                  HNB-76282                            117
055                  TNA-63396                            171
056                  KMP-52243                            123
057                  TLT-23593                            122
058                  AAV-93236                             36
059                  BCU-27839                            134
060                  BMN-57337                            174
061                  PZV-75529                              5
062                  CCG-95482                             17
063                  PQJ-67335                             83
064                  BCU-27839                            113
065                  NHP-43928                             43
066                  ZPF-96697                            124
067                  ANR-65636                            169
068                  YLW-92835                            115
069                  HKZ-33728                            111
070                  PHE-99329                             69
071                  SZA-87265                             62
072                  GUJ-74444                            101
073                  NWL-28282                            197
074                  VWM-74278                            190
075                  TXF-47848                             30
076                  VWM-74278                            150
077                  PWT-38779                             47
078                  FYK-67999                            192
079                  PQJ-67335                             97
080                  TQC-49936                             80
081                  HVX-35287                            132
082                  BTG-65524                             82
083                  DAU-26394                              2
084                  PZV-75529                              3
085                  FTD-84699                            127
086                  DAU-26394                            133
087                  KDV-97563                             29
088                  HCY-32686                            146
089                  PWT-38779                             53
090                  WQM-46249                             85
091                  BMN-57337                             10
092                  FNL-93857                            163
093                  TNX-51117                            200
094                  GBK-45859                             45
095                  NWL-28282                            120
096                  XKG-42573                            137
097                  PHE-99329                            119
098                  JPJ-26459                             16
099                  TNA-63396                             26
100                  WMD-65834                             32
