User ID: 26032-51883

Trial                  Virus                             Units
---------------------------------------------------------------
001                  CDC-36833                             40
002                  ZKV-31415                             58
003                  CDC-36833                             72
004                  ZPF-96697                             60
005                  TNA-63396                             19
006                  SZA-87265                             33
007                  HNB-76282                            131
008                  LZL-53762                            173
009                  WMD-65834                             53
010                  SPN-64546                            119
011                  NWL-28282                             55
012                  PHE-99329                             21
013                  GMS-89977                             68
014                  KLA-57296                            115
015                  VJN-37687                            120
016                  DHY-22445                            146
017                  EFG-46945                            150
018                  HVX-35287                            193
019                  HZF-45469                            110
020                  NHP-43928                             52
021                  VWM-74278                             95
022                  FTD-84699                            145
023                  TQC-49936                            136
024                  KLA-57296                            189
025                  QBZ-39849                             42
026                  URL-32968                              3
027                  QBD-79865                            101
028                  XJQ-35789                             76
029                  RGZ-73449                             38
030                  TNA-63396                              6
031                  ZXB-54692                            143
032                  TNX-51117                            137
033                  FTD-84699                              4
034                  XBC-95594                             56
035                  TQC-49936                             59
036                  ZXB-54692                            108
037                  TQC-49936                             87
038                  TNA-63396                            186
039                  XRT-73276                            183
040                  URL-32968                             35
041                  PNF-53949                             80
042                  CPU-63784                             36
043                  TNG-52497                             70
044                  CDC-36833                             28
045                  XKG-42573                            129
046                  HZF-45469                            168
047                  GZN-34688                             92
048                  BTG-65524                             84
049                  BCU-27839                            123
050                  FNR-28782                             37
051                  ZKV-31415                            180
052                  NMA-58554                             71
053                  BMN-57337                            133
054                  GUJ-74444                            114
055                  NXD-76943                             75
056                  EPX-87469                            160
057                  TNA-63396                             12
058                  HCY-32686                             11
059                  FYK-67999                            153
060                  TNX-51117                             63
061                  HKZ-33728                            157
062                  HCY-32686                             43
063                  DHY-22445                             32
064                  AAV-93236                            171
065                  LZL-53762                            185
066                  HZF-45469                             44
067                  WQM-46249                            159
068                  YXL-38878                            111
069                  JYL-79355                             57
070                  GMS-89977                            177
071                  DAU-26394                            152
072                  DHY-22445                             24
073                  HKZ-33728                             79
074                  YMA-56284                            184
075                  KMP-52243                            188
076                  ZHA-83572                             74
077                  PWT-38779                            121
078                  YLW-92835                            127
079                  TNX-51117                             51
080                  ZKV-31415                            147
081                  WQB-83823                             93
082                  PZV-75529                              7
083                  TLT-23593                             65
084                  HCY-32686                              8
085                  JYL-79355                            139
086                  NWL-28282                             97
087                  TNG-52497                             94
088                  BCU-27839                             20
089                  NVE-67597                             98
090                  HVX-35287                            140
091                  HNB-76282                             50
092                  TNG-52497                            197
093                  FTD-84699                             89
094                  WQB-83823                             96
095                  XJQ-35789                              9
096                  HKZ-33728                            149
097                  YMA-56284                            104
098                  FNL-93857                            116
099                  TQC-49936                             14
100                  KWH-94256                             25
