User ID: 05074-62754

Trial                  Virus                             Units
---------------------------------------------------------------
001                  YLW-92835                              8
002                  HCY-32686                             61
003                  VJN-37687                             68
004                  JPJ-26459                            176
005                  GMS-89977                            125
006                  YLW-92835                            172
007                  BTG-65524                            198
008                  PZV-75529                            170
009                  TLT-23593                              3
010                  PHE-99329                            193
011                  BTG-65524                            186
012                  BTG-65524                            127
013                  XBC-95594                            104
014                  WQB-83823                            178
015                  XJQ-35789                             32
016                  BMN-57337                            183
017                  TNX-51117                             96
018                  TNG-52497                            101
019                  YBD-67688                              5
020                  NMA-58554                             69
021                  DAU-26394                             67
022                  KQA-89952                            189
023                  NMA-58554                             85
024                  CDC-36833                            147
025                  TNG-52497                              9
026                  TRM-27792                            175
027                  TRM-27792                            173
028                  HVX-35287                             99
029                  CQS-93978                             28
030                  RGZ-73449                            107
031                  FTD-84699                            181
032                  BTG-65524                             78
033                  WBB-69295                            119
034                  GUJ-74444                            139
035                  KDV-97563                            144
036                  HNB-76282                            188
037                  LNC-68448                            187
038                  ZHA-83572                              4
039                  DAU-26394                            121
040                  XRT-73276                             58
041                  KDV-97563                            102
042                  BCU-27839                            129
043                  CPU-63784                             33
044                  TRM-27792                             12
045                  HVX-35287                             76
046                  VXR-68924                            114
047                  JPJ-26459                             10
048                  XRT-73276                            106
049                  YLW-92835                              2
050                  KDV-97563                            108
051                  TNX-51117                            105
052                  KWH-94256                             26
053                  ZKV-31415                            179
054                  LNC-68448                            153
055                  BCU-27839                            182
056                  WMD-65834                             41
057                  VJN-37687                            132
058                  AAV-93236                             88
059                  KMP-52243                             16
060                  TNA-63396                            160
061                  WQM-46249                            164
062                  CQS-93978                            131
063                  YBD-67688                             18
064                  WQB-83823                             89
065                  YMA-56284                            145
066                  KWH-94256                             86
067                  WMD-65834                              1
068                  DAU-26394                             81
069                  JVL-65247                            138
070                  BTG-65524                             40
071                  WMD-65834                             55
072                  PWT-38779                             25
073                  CCG-95482                            161
074                  TRM-27792                             63
075                  NXD-76943                             73
076                  BTN-83953                             71
077                  ZKV-31415                             30
078                  SZA-87265                            167
079                  QBD-79865                             74
080                  DHY-22445                             94
081                  CQS-93978                            197
082                  XBC-95594                             90
083                  TNG-52497                             27
084                  TNX-51117                            196
085                  VXR-68924                             47
086                  YLW-92835                            155
087                  PNF-53949                            124
088                  LNC-68448                             92
089                  PQJ-67335                             23
090                  PQJ-67335                            116
091                  EPX-87469                            100
092                  BTG-65524                            162
093                  JVL-65247                             22
094                  QBD-79865                             72
095                  VXR-68924                            177
096                  AJA-56777                             46
097                  KQA-89952                            118
098                  WQM-46249                            142
099                  ZXB-54692                             45
100                  BCU-27839                            135
