User ID: 69282-33425

Trial                  Virus                             Units
---------------------------------------------------------------
001                  GMS-89977                             68
002                  PHE-99329                            112
003                  TRM-27792                             63
004                  LNC-68448                             40
005                  HCY-32686                            148
006                  KDV-97563                             13
007                  TRM-27792                            125
008                  VJN-37687                             20
009                  LNC-68448                            165
010                  VJN-37687                            196
011                  HCY-32686                            111
012                  CPU-63784                             17
013                  URL-32968                             28
014                  LNC-68448                             25
015                  PQJ-67335                             19
016                  HNB-76282                            184
017                  XKG-42573                            133
018                  EFG-46945                             11
019                  XJQ-35789                            153
020                  VXR-68924                             42
021                  LNC-68448                            139
022                  KMP-52243                             92
023                  DHY-22445                            156
024                  NWL-28282                             16
025                  RLT-57887                            198
026                  YLW-92835                            161
027                  HNB-76282                             84
028                  LWR-78574                            152
029                  PNF-53949                             64
030                  BMN-57337                             41
031                  KQA-89952                             39
032                  FNL-93857                             34
033                  YMA-56284                             29
034                  PHE-99329                            143
035                  LWR-78574                             47
036                  CCG-95482                            124
037                  KDV-97563                             77
038                  WBB-69295                            122
039                  NXD-76943                             15
040                  CPU-63784                             81
041                  NHP-43928                            100
042                  PNF-53949                            166
043                  NVE-67597                             66
044                  CQS-93978                             78
045                  NXD-76943                            110
046                  AAV-93236                            115
047                  CDC-36833                            158
048                  DHY-22445                            137
049                  FYK-67999                             62
050                  GMS-89977                             52
051                  HCY-32686                             51
052                  NWL-28282                            129
053                  VJN-37687                             86
054                  BTN-83953                              2
055                  CQS-93978                             48
056                  NXD-76943                             43
057                  NWL-28282                             53
058                  DHY-22445                            106
059                  XJQ-35789                             71
060                  PNF-53949                             31
061                  YXL-38878                            145
062                  KDV-97563                             97
063                  XJQ-35789                            123
064                  HNB-76282                            149
065                  JVL-65247                            142
066                  KDV-97563                             93
067                  HZF-45469                            138
068                  AAV-93236                             46
069                  FYK-67999                             22
070                  FYK-67999                             18
071                  XKG-42573                            187
072                  QBZ-39849                            147
073                  RGZ-73449                             45
074                  KMP-52243                             72
075                  BMN-57337                             12
076                  ANR-65636                             76
077                  KDV-97563                             59
078                  PQJ-67335                            107
079                  URL-32968                            174
080                  BTG-65524                             82
081                  YXL-38878                             54
082                  YMA-56284                            120
083                  TQC-49936                            191
084                  WBB-69295                             32
085                  NXD-76943                            118
086                  WMD-65834                            135
087                  EFG-46945                             88
088                  KQA-89952                            105
089                  FNL-93857                             67
090                  VJN-37687                            169
091                  XKG-42573                            109
092                  KQA-89952                            178
093                  YMA-56284                            113
094                  VJN-37687                            141
095                  SZA-87265                             95
096                  HNB-76282                              8
097                  NXD-76943                            116
098                  KDV-97563                             60
099                  CDC-36833                            189
100                  NHP-43928                            108
