User ID: 53307-18031

Trial                  Virus                             Units
---------------------------------------------------------------
001                  PWT-38779                             27
002                  KLA-57296                            133
003                  FTD-84699                            173
004                  KMP-52243                             37
005                  NWL-28282                            170
006                  NVE-67597                            182
007                  GZN-34688                             96
008                  BTG-65524                             87
009                  TNG-52497                            127
010                  KQA-89952                            185
011                  VWM-74278                            105
012                  PNF-53949                             45
013                  TNG-52497                            115
014                  TXF-47848                             50
015                  XJQ-35789                            176
016                  JVL-65247                             70
017                  XKG-42573                              2
018                  ZXB-54692                            112
019                  QBZ-39849                            160
020                  BCU-27839                            103
021                  VWM-74278                             18
022                  JVL-65247                            138
023                  YXL-38878                            189
024                  WQM-46249                            107
025                  URL-32968                             71
026                  YXL-38878                             21
027                  HZF-45469                            119
028                  BTN-83953                            116
029                  HNB-76282                            191
030                  XJQ-35789                             43
031                  NMA-58554                             26
032                  QBD-79865                             54
033                  GUJ-74444                            126
034                  AAV-93236                            152
035                  HNB-76282                             57
036                  DHY-22445                            155
037                  ZPF-96697                             22
038                  HVE-32966                             48
039                  JPJ-26459                            200
040                  FTD-84699                             76
041                  CPU-63784                            169
042                  FTD-84699                             23
043                  CDC-36833                            110
044                  NHP-43928                             88
045                  PNF-53949                              4
046                  KWH-94256                              6
047                  WMD-65834                            120
048                  TLT-23593                            148
049                  HNB-76282                            132
050                  XJQ-35789                             24
051                  SPN-64546                             15
052                  JYL-79355                            197
053                  AJA-56777                             25
054                  WQM-46249                             62
055                  YLW-92835                            109
056                  WBB-69295                            168
057                  HVX-35287                             74
058                  YLW-92835                             10
059                  FNR-28782                             97
060                  BTN-83953                            145
061                  WBB-69295                            122
062                  NVE-67597                            101
063                  NXD-76943                             31
064                  QBD-79865                             58
065                  BMN-57337                             12
066                  HVE-32966                             61
067                  AJA-56777                              3
068                  VWM-74278                             60
069                  BMN-57337                            143
070                  HZF-45469                             89
071                  LNC-68448                             38
072                  TLT-23593                            180
073                  ZKV-31415                             93
074                  NXD-76943                            175
075                  XRT-73276                             79
076                  GMS-89977                             80
077                  CPU-63784                            167
078                  RGZ-73449                            108
079                  TLT-23593                             82
080                  CQS-93978                             81
081                  FTD-84699                            147
082                  FNR-28782                            153
083                  ZHA-83572                             53
084                  NXD-76943                            179
085                  PHE-99329                            190
086                  PWT-38779                            128
087                  LNC-68448                            194
088                  HNB-76282                             14
089                  PQJ-67335                             65
090                  TLT-23593                            130
091                  AAV-93236                            137
092                  TRM-27792                            144
093                  QBZ-39849                            188
094                  LWR-78574                             32
095                  KWH-94256                            195
096                  VWM-74278                             92
097                  VJN-37687                            161
098                  WQM-46249                             77
099                  URL-32968                             66
100                  VWM-74278                            135
