User ID: 52357-54349

Trial                  Virus                             Units
---------------------------------------------------------------
001                  TNA-63396                             51
002                  BCU-27839                             70
003                  SZA-87265                             73
004                  TLT-23593                            111
005                  PZV-75529                            144
006                  TQC-49936                             97
007                  PWT-38779                            113
008                  DAU-26394                             20
009                  CQS-93978                            162
010                  KDV-97563                            172
011                  KQA-89952                            194
012                  HVX-35287                            118
013                  KMP-52243                             59
014                  TLT-23593                            133
015                  EFG-46945                            180
016                  FYK-67999                            193
017                  AJA-56777                             95
018                  HZF-45469                             90
019                  EFG-46945                            158
020                  YBD-67688                            119
021                  JPJ-26459                             74
022                  NXD-76943                             50
023                  SZA-87265                             30
024                  RLT-57887                            161
025                  CDC-36833                             36
026                  FNR-28782                            116
027                  AJA-56777                            126
028                  VJN-37687                            143
029                  JYL-79355                            184
030                  WBB-69295                             48
031                  KWH-94256                            100
032                  JYL-79355                             76
033                  QBZ-39849                              5
034                  ZPF-96697                            188
035                  LZL-53762                             32
036                  KDV-97563                             93
037                  XKG-42573                             98
038                  HVX-35287                            153
039                  AJA-56777                             66
040                  ANR-65636                             13
041                  FNR-28782                             80
042                  HVX-35287                            183
043                  WBB-69295                            182
044                  HNB-76282                             47
045                  FTD-84699                             88
046                  TNX-51117                            148
047                  NVE-67597                            165
048                  YXL-38878                            137
049                  ZKV-31415                             67
050                  BTG-65524                             43
051                  TNG-52497                            139
052                  PQJ-67335                             84
053                  KDV-97563                             58
054                  WBB-69295                             96
055                  NMA-58554                             56
056                  KWH-94256                             85
057                  WQB-83823                            170
058                  ZPF-96697                             53
059                  NWL-28282                            157
060                  PZV-75529                            135
061                  CPU-63784                             17
062                  KMP-52243                            179
063                  BCU-27839                             14
064                  LWR-78574                            115
065                  HVX-35287                            190
066                  PWT-38779                              4
067                  XKG-42573                            131
068                  NWL-28282                            152
069                  PQJ-67335                             94
070                  TRM-27792                             35
071                  TNG-52497                             27
072                  QBZ-39849                            127
073                  TNG-52497                            155
074                  VWM-74278                             38
075                  RLT-57887                             72
076                  YBD-67688                             91
077                  CPU-63784                             75
078                  BTG-65524                            129
079                  QBZ-39849                            199
080                  NXD-76943                             99
081                  PQJ-67335                              9
082                  WBB-69295                             25
083                  JVL-65247                             18
084                  LZL-53762                            102
085                  ZPF-96697                            106
086                  TXF-47848                            191
087                  SPN-64546                            141
088                  TLT-23593                             33
089                  TNA-63396                            164
090                  RGZ-73449                            154
091                  HZF-45469                            156
092                  BMN-57337                            130
093                  XJQ-35789                            178
094                  KLA-57296                            169
095                  QBZ-39849                            200
096                  PWT-38779                            138
097                  XRT-73276                             62
098                  VJN-37687                            189
099                  FYK-67999                            176
100                  HNB-76282                            109
