User ID: 87049-31809

Trial                  Virus                             Units
---------------------------------------------------------------
001                  NVE-67597                             77
002                  CDC-36833                             47
003                  XJQ-35789                            186
004                  ZPF-96697                            145
005                  AAV-93236                            101
006                  FNL-93857                             54
007                  GUJ-74444                            199
008                  YLW-92835                            109
009                  YMA-56284                             43
010                  HZF-45469                             87
011                  TNX-51117                            102
012                  YXL-38878                            125
013                  FYK-67999                             69
014                  FNR-28782                             22
015                  WQB-83823                              4
016                  BTN-83953                            191
017                  URL-32968                             65
018                  KWH-94256                             36
019                  PHE-99329                             31
020                  CDC-36833                             84
021                  HCY-32686                            172
022                  FYK-67999                            110
023                  JPJ-26459                            148
024                  PQJ-67335                             90
025                  TXF-47848                             71
026                  NHP-43928                            195
027                  AAV-93236                            118
028                  HVE-32966                             80
029                  NVE-67597                            138
030                  BTN-83953                            124
031                  CPU-63784                            134
032                  PZV-75529                            126
033                  TLT-23593                             93
034                  FYK-67999                             70
035                  GZN-34688                            130
036                  TLT-23593                             19
037                  NWL-28282                             85
038                  QBZ-39849                            140
039                  FTD-84699                             38
040                  URL-32968                            190
041                  DAU-26394                            196
042                  BCU-27839                             99
043                  XRT-73276                            184
044                  FTD-84699                            141
045                  NWL-28282                            116
046                  ZPF-96697                            103
047                  PHE-99329                             41
048                  ZKV-31415                            113
049                  TRM-27792                            117
050                  EFG-46945                            152
051                  LWR-78574                            112
052                  HCY-32686                             57
053                  PZV-75529                            173
054                  CDC-36833                            192
055                  PHE-99329                            162
056                  TRM-27792                            100
057                  WBB-69295                             74
058                  ZHA-83572                            159
059                  PZV-75529                             23
060                  HZF-45469                            158
061                  VXR-68924                            189
062                  XKG-42573                             49
063                  GBK-45859                             55
064                  GMS-89977                            171
065                  YMA-56284                             96
066                  ZXB-54692                            139
067                  FYK-67999                             52
068                  CCG-95482                            108
069                  FYK-67999                            123
070                  GUJ-74444                             64
071                  BCU-27839                             86
072                  LNC-68448                             82
073                  TQC-49936                              5
074                  RLT-57887                             63
075                  QBZ-39849                             60
076                  PHE-99329                            176
077                  QBD-79865                            194
078                  YLW-92835                            160
079                  AAV-93236                             24
080                  TNX-51117                             14
081                  CDC-36833                            164
082                  SZA-87265                            119
083                  PZV-75529                            146
084                  QBZ-39849                             51
085                  GUJ-74444                            198
086                  HVX-35287                              8
087                  GBK-45859                            120
088                  BMN-57337                             17
089                  TRM-27792                             30
090                  DHY-22445                             25
091                  URL-32968                            149
092                  XJQ-35789                              2
093                  ZXB-54692                             75
094                  YMA-56284                             88
095                  NXD-76943                            187
096                  NXD-76943                             39
097                  PQJ-67335                            114
098                  XRT-73276                            111
099                  QBZ-39849                             98
100                  LWR-78574                             33
