User ID: 66537-00315

Trial                  Virus                             Units
---------------------------------------------------------------
001                  NWL-28282                            152
002                  PWT-38779                             15
003                  RGZ-73449                            111
004                  HZF-45469                             77
005                  JVL-65247                            192
006                  AJA-56777                             52
007                  LNC-68448                             49
008                  KLA-57296                            133
009                  XJQ-35789                            177
010                  LNC-68448                            140
011                  LNC-68448                            145
012                  LZL-53762                              1
013                  RGZ-73449                            193
014                  EFG-46945                             48
015                  LWR-78574                             58
016                  HCY-32686                            134
017                  KMP-52243                             44
018                  PHE-99329                             69
019                  DAU-26394                            100
020                  EFG-46945                             18
021                  FYK-67999                            184
022                  JYL-79355                             61
023                  CCG-95482                            166
024                  QBD-79865                            169
025                  BMN-57337                            163
026                  RGZ-73449                            167
027                  ZXB-54692                            158
028                  WMD-65834                             24
029                  LWR-78574                              2
030                  KQA-89952                            101
031                  TNG-52497                             20
032                  YMA-56284                             87
033                  ZPF-96697                            194
034                  FNL-93857                             53
035                  ZHA-83572                            122
036                  TNG-52497                             27
037                  TXF-47848                             82
038                  LZL-53762                              4
039                  VWM-74278                             41
040                  AAV-93236                             72
041                  VJN-37687                            187
042                  BMN-57337                            138
043                  NWL-28282                             47
044                  GMS-89977                             83
045                  KQA-89952                            155
046                  KLA-57296                            149
047                  ANR-65636                            154
048                  ZPF-96697                            146
049                  GMS-89977                             23
050                  CPU-63784                             68
051                  LNC-68448                             99
052                  QBZ-39849                            157
053                  NMA-58554                             95
054                  TNA-63396                            175
055                  HVX-35287                             46
056                  FTD-84699                            131
057                  TLT-23593                             35
058                  TNG-52497                             10
059                  URL-32968                            190
060                  ZKV-31415                            120
061                  GBK-45859                            117
062                  GUJ-74444                            198
063                  JYL-79355                             38
064                  CCG-95482                            136
065                  WQB-83823                             79
066                  ZHA-83572                            199
067                  PNF-53949                              6
068                  PNF-53949                             76
069                  YBD-67688                            153
070                  PNF-53949                            165
071                  RLT-57887                            121
072                  PWT-38779                            105
073                  NVE-67597                            115
074                  PZV-75529                             55
075                  SZA-87265                             86
076                  ZHA-83572                            144
077                  LNC-68448                             89
078                  RGZ-73449                             65
079                  HKZ-33728                            183
080                  CQS-93978                            139
081                  XBC-95594                              8
082                  JPJ-26459                             71
083                  RLT-57887                             84
084                  VJN-37687                            151
085                  BTG-65524                            195
086                  HNB-76282                             78
087                  RGZ-73449                             45
088                  GZN-34688                            125
089                  BTN-83953                             63
090                  PHE-99329                            179
091                  HVX-35287                             64
092                  PZV-75529                            142
093                  TLT-23593                             94
094                  VWM-74278                            181
095                  JVL-65247                             56
096                  FTD-84699                             85
097                  KLA-57296                            171
098                  TNX-51117                            113
099                  TXF-47848                            160
100                  KQA-89952                            127
