User ID: 91285-61524

Trial                  Virus                             Units
---------------------------------------------------------------
001                  NVE-67597                             99
002                  FYK-67999                            165
003                  PHE-99329                            101
004                  KDV-97563                            168
005                  CPU-63784                            131
006                  NWL-28282                             52
007                  XJQ-35789                            178
008                  VJN-37687                            113
009                  XBC-95594                            188
010                  FYK-67999                             96
011                  XRT-73276                            183
012                  DAU-26394                             22
013                  PHE-99329                             69
014                  TQC-49936                              1
015                  HVX-35287                             68
016                  GZN-34688                             34
017                  BCU-27839                            106
018                  KQA-89952                            176
019                  ZXB-54692                             88
020                  ZPF-96697                            170
021                  YBD-67688                             64
022                  PNF-53949                             89
023                  WQM-46249                            190
024                  TNA-63396                            126
025                  PNF-53949                            135
026                  VWM-74278                            104
027                  NVE-67597                             20
028                  FYK-67999                            152
029                  KDV-97563                            100
030                  NHP-43928                            191
031                  CDC-36833                            107
032                  JPJ-26459                            102
033                  PQJ-67335                            110
034                  FNL-93857                            123
035                  WMD-65834                             56
036                  WBB-69295                            116
037                  RLT-57887                            172
038                  BCU-27839                            171
039                  SPN-64546                            130
040                  AAV-93236                             42
041                  NHP-43928                            138
042                  JPJ-26459                            169
043                  KDV-97563                             27
044                  LWR-78574                             41
045                  WBB-69295                            180
046                  VJN-37687                             74
047                  HVE-32966                            197
048                  NMA-58554                             90
049                  ZPF-96697                            154
050                  GUJ-74444                             19
051                  ZHA-83572                            196
052                  DHY-22445                             83
053                  WBB-69295                            156
054                  VXR-68924                             18
055                  PNF-53949                             40
056                  JVL-65247                            108
057                  XJQ-35789                            151
058                  HNB-76282                             14
059                  HCY-32686                             87
060                  NXD-76943                             95
061                  CQS-93978                            117
062                  XJQ-35789                             10
063                  TLT-23593                             44
064                  JYL-79355                             82
065                  RGZ-73449                            187
066                  TXF-47848                             17
067                  WMD-65834                             65
068                  DHY-22445                             50
069                  TNX-51117                            179
070                  EFG-46945                             70
071                  YBD-67688                             77
072                  YXL-38878                             81
073                  GBK-45859                             63
074                  TNX-51117                             94
075                  BTN-83953                            118
076                  GMS-89977                            194
077                  GBK-45859                             58
078                  TXF-47848                            173
079                  NHP-43928                             92
080                  YXL-38878                            109
081                  HVX-35287                             62
082                  NWL-28282                            147
083                  TNA-63396                             24
084                  TLT-23593                             28
085                  LNC-68448                            159
086                  CPU-63784                            141
087                  WMD-65834                             85
088                  EFG-46945                            105
089                  DAU-26394                            175
090                  PQJ-67335                             71
091                  BTN-83953                            195
092                  KDV-97563                            193
093                  WMD-65834                             51
094                  JYL-79355                             93
095                  LZL-53762                            103
096                  QBD-79865                            184
097                  KDV-97563                            189
098                  ZXB-54692                             97
099                  URL-32968                             91
100                  NHP-43928                            150
