User ID: 00885-84102

Trial                  Virus                             Units
---------------------------------------------------------------
001                  WQM-46249                            105
002                  JPJ-26459                             95
003                  TRM-27792                             86
004                  HVX-35287                             45
005                  XJQ-35789                             37
006                  AJA-56777                            140
007                  XJQ-35789                             44
008                  FNR-28782                            106
009                  FYK-67999                            166
010                  ZPF-96697                            126
011                  KMP-52243                              9
012                  SPN-64546                            154
013                  ZKV-31415                             75
014                  TQC-49936                            167
015                  PZV-75529                            187
016                  YBD-67688                            104
017                  PNF-53949                            196
018                  TLT-23593                            156
019                  KQA-89952                             31
020                  CDC-36833                            120
021                  AJA-56777                             71
022                  BCU-27839                             42
023                  NMA-58554                             30
024                  HVE-32966                            133
025                  YLW-92835                             18
026                  ZKV-31415                            198
027                  WQB-83823                            188
028                  NVE-67597                             73
029                  NXD-76943                             84
030                  TXF-47848                            162
031                  LNC-68448                             98
032                  HNB-76282                            165
033                  RGZ-73449                            113
034                  TRM-27792                            176
035                  FNR-28782                            144
036                  VJN-37687                            129
037                  ZPF-96697                             80
038                  BTN-83953                            143
039                  WMD-65834                              4
040                  BTG-65524                             82
041                  JPJ-26459                             94
042                  WMD-65834                            108
043                  LNC-68448                             83
044                  ZHA-83572                             39
045                  KLA-57296                            183
046                  XBC-95594                            112
047                  CDC-36833                             55
048                  URL-32968                            152
049                  DAU-26394                            109
050                  WMD-65834                             91
051                  PWT-38779                             63
052                  PNF-53949                             89
053                  TQC-49936                            186
054                  KLA-57296                            173
055                  DHY-22445                             58
056                  ZKV-31415                             41
057                  WMD-65834                              6
058                  ZPF-96697                            174
059                  EPX-87469                            116
060                  CCG-95482                            149
061                  NXD-76943                            197
062                  PNF-53949                             23
063                  TNX-51117                            150
064                  NWL-28282                            199
065                  TXF-47848                            185
066                  HNB-76282                            119
067                  KLA-57296                             66
068                  LNC-68448                            189
069                  HVE-32966                            192
070                  ZPF-96697                            160
071                  WBB-69295                             53
072                  YMA-56284                             64
073                  DAU-26394                            184
074                  GMS-89977                             59
075                  TNA-63396                             49
076                  ZPF-96697                            159
077                  CPU-63784                            168
078                  PHE-99329                             10
079                  YLW-92835                            110
080                  FTD-84699                             92
081                  CPU-63784                            158
082                  FNR-28782                            171
083                  YLW-92835                            101
084                  YBD-67688                            135
085                  HVX-35287                             36
086                  DAU-26394                            145
087                  XJQ-35789                             96
088                  GUJ-74444                             20
089                  TXF-47848                             68
090                  AJA-56777                            164
091                  WMD-65834                            103
092                  HZF-45469                             50
093                  HVX-35287                            147
094                  BTN-83953                            131
095                  BMN-57337                             54
096                  VXR-68924                             24
097                  CQS-93978                            169
098                  PHE-99329                            155
099                  FNR-28782                             79
100                  GMS-89977                            179
