User ID: 44577-99899

Trial                  Virus                             Units
---------------------------------------------------------------
001                  NMA-58554                            137
002                  XKG-42573                             63
003                  HVE-32966                             20
004                  VXR-68924                             99
005                  SZA-87265                            154
006                  NXD-76943                            114
007                  KQA-89952                            183
008                  TNX-51117                             39
009                  HZF-45469                            177
010                  URL-32968                            148
011                  VWM-74278                            157
012                  HVE-32966                             60
013                  TRM-27792                             14
014                  PWT-38779                             79
015                  BTG-65524                             50
016                  KDV-97563                             47
017                  BCU-27839                             57
018                  TNA-63396                            193
019                  HNB-76282                            121
020                  EPX-87469                             92
021                  YMA-56284                             18
022                  NWL-28282                            119
023                  TNA-63396                             58
024                  WQM-46249                            118
025                  EPX-87469                            134
026                  LWR-78574                             42
027                  CQS-93978                            182
028                  HKZ-33728                            122
029                  YLW-92835                            103
030                  SPN-64546                            107
031                  YLW-92835                            108
032                  GBK-45859                            192
033                  TRM-27792                             94
034                  LWR-78574                            191
035                  HCY-32686                             73
036                  GMS-89977                             91
037                  PHE-99329                            153
038                  XJQ-35789                            110
039                  EFG-46945                             68
040                  YLW-92835                            178
041                  RGZ-73449                             27
042                  LZL-53762                             90
043                  JPJ-26459                            145
044                  NVE-67597                            128
045                  LWR-78574                            185
046                  GZN-34688                            141
047                  PZV-75529                             49
048                  LZL-53762                            169
049                  LZL-53762                             12
050                  HCY-32686                             37
051                  DHY-22445                             81
052                  DAU-26394                             31
053                  PNF-53949                            123
054                  HKZ-33728                            116
055                  KMP-52243                            167
056                  KLA-57296                            125
057                  FTD-84699                            162
058                  CCG-95482                            115
059                  NMA-58554                            200
060                  ANR-65636                            113
061                  SPN-64546                             97
062                  HZF-45469                            150
063                  GZN-34688                             15
064                  GMS-89977                            120
065                  AAV-93236                             11
066                  ANR-65636                            151
067                  ZPF-96697                            105
068                  JPJ-26459                             40
069                  ZHA-83572                            173
070                  HVX-35287                            161
071                  BCU-27839                             85
072                  YBD-67688                            196
073                  NWL-28282                             24
074                  NWL-28282                             74
075                  AAV-93236                            152
076                  QBD-79865                            111
077                  TQC-49936                             22
078                  TQC-49936                            176
079                  XJQ-35789                            159
080                  DAU-26394                             76
081                  ANR-65636                             62
082                  ANR-65636                             16
083                  PZV-75529                              8
084                  ZHA-83572                             46
085                  ANR-65636                             17
086                  GZN-34688                            109
087                  HVE-32966                              7
088                  QBD-79865                            100
089                  ZHA-83572                             98
090                  BTG-65524                             95
091                  TLT-23593                              3
092                  TRM-27792                            155
093                  XKG-42573                            117
094                  LNC-68448                            136
095                  ANR-65636                            198
096                  PWT-38779                            181
097                  FNR-28782                            139
098                  CPU-63784                            180
099                  TQC-49936                             84
100                  ZXB-54692                             64
