User ID: 52134-15115

Trial                  Virus                             Units
---------------------------------------------------------------
001                  KDV-97563                            130
002                  GBK-45859                            128
003                  TLT-23593                            184
004                  NVE-67597                             77
005                  HCY-32686                            163
006                  EPX-87469                            177
007                  TXF-47848                            156
008                  FNL-93857                            108
009                  VXR-68924                             84
010                  CDC-36833                            115
011                  PHE-99329                             88
012                  PNF-53949                             44
013                  BCU-27839                            198
014                  BCU-27839                            165
015                  WQM-46249                            171
016                  NWL-28282                             26
017                  SPN-64546                            179
018                  JYL-79355                            117
019                  GZN-34688                            157
020                  NMA-58554                             59
021                  FTD-84699                            149
022                  VJN-37687                            147
023                  LZL-53762                            190
024                  TNA-63396                            101
025                  NHP-43928                             86
026                  VXR-68924                             74
027                  TXF-47848                             27
028                  ZXB-54692                            188
029                  CPU-63784                            100
030                  KMP-52243                            197
031                  AJA-56777                            107
032                  DHY-22445                             11
033                  ZKV-31415                             20
034                  EPX-87469                             38
035                  FNR-28782                              2
036                  HCY-32686                            138
037                  CCG-95482                            121
038                  FYK-67999                            116
039                  SPN-64546                            136
040                  NXD-76943                             50
041                  AAV-93236                            146
042                  TNG-52497                             24
043                  LWR-78574                             54
044                  VXR-68924                            104
045                  JYL-79355                             58
046                  WQM-46249                            181
047                  JYL-79355                             90
048                  XRT-73276                            119
049                  FTD-84699                             12
050                  XRT-73276                            111
051                  GMS-89977                            106
052                  EFG-46945                            193
053                  LNC-68448                             31
054                  PHE-99329                             45
055                  JVL-65247                            169
056                  JPJ-26459                              8
057                  GBK-45859                            173
058                  LZL-53762                             36
059                  TNG-52497                              7
060                  DAU-26394                            126
061                  DHY-22445                            199
062                  SPN-64546                            127
063                  TXF-47848                             62
064                  XRT-73276                             72
065                  PNF-53949                             81
066                  PNF-53949                             28
067                  BCU-27839                             75
068                  NWL-28282                             73
069                  FNR-28782                            123
070                  LWR-78574                             98
071                  PZV-75529                            174
072                  BTN-83953                            194
073                  WBB-69295                             21
074                  NVE-67597                             71
075                  TQC-49936                            144
076                  RLT-57887                            178
077                  QBD-79865                             82
078                  BMN-57337                            131
079                  TRM-27792                            183
080                  HZF-45469                             92
081                  NHP-43928                            187
082                  LWR-78574                             89
083                  YBD-67688                             41
084                  LWR-78574                            155
085                  XKG-42573                            118
086                  ZKV-31415                             49
087                  PHE-99329                            109
088                  JVL-65247                             79
089                  KLA-57296                             46
090                  RLT-57887                             97
091                  ANR-65636                            125
092                  TNA-63396                            142
093                  VJN-37687                            143
094                  QBD-79865                            129
095                  BTN-83953                            162
096                  ANR-65636                            167
097                  EPX-87469                             87
098                  WBB-69295                            148
099                  KWH-94256                              4
100                  XJQ-35789                            114
