User ID: 69282-33425

Trial                  Virus                             Units
---------------------------------------------------------------
001                  PWT-38779                            155
002                  YXL-38878                            121
003                  HCY-32686                             65
004                  RGZ-73449                             18
005                  LWR-78574                            125
006                  DAU-26394                             62
007                  BTG-65524                            153
008                  FNL-93857                            191
009                  ZPF-96697                            194
010                  KLA-57296                            133
011                  CDC-36833                             54
012                  GZN-34688                             98
013                  QBD-79865                             17
014                  WQM-46249                             41
015                  YMA-56284                            111
016                  KLA-57296                            165
017                  TNA-63396                             77
018                  YMA-56284                             42
019                  DAU-26394                            185
020                  XBC-95594                             26
021                  YLW-92835                             85
022                  URL-32968                             45
023                  LZL-53762                             87
024                  XKG-42573                              9
025                  XRT-73276                             74
026                  ANR-65636                            170
027                  XRT-73276                             90
028                  GMS-89977                              6
029                  BCU-27839                            175
030                  PZV-75529                              4
031                  PQJ-67335                            164
032                  PHE-99329                             29
033                  ZKV-31415                            189
034                  FTD-84699                            109
035                  FYK-67999                            140
036                  QBZ-39849                             72
037                  QBD-79865                             28
038                  VJN-37687                             31
039                  WBB-69295                            196
040                  XKG-42573                            171
041                  PWT-38779                             58
042                  JVL-65247                            124
043                  TXF-47848                            145
044                  YMA-56284                            132
045                  RGZ-73449                             57
046                  TNX-51117                             96
047                  TNX-51117                             12
048                  XKG-42573                             95
049                  DHY-22445                            174
050                  TQC-49936                             78
051                  JPJ-26459                             19
052                  JVL-65247                            152
053                  TNG-52497                              2
054                  EFG-46945                             13
055                  JVL-65247                            117
056                  CCG-95482                             47
057                  ZHA-83572                             75
058                  CPU-63784                             71
059                  NVE-67597                             48
060                  BTN-83953                            150
061                  QBZ-39849                            106
062                  BCU-27839                             89
063                  NMA-58554                            108
064                  KQA-89952                             64
065                  LZL-53762                             68
066                  WQM-46249                             76
067                  TXF-47848                            162
068                  PZV-75529                            126
069                  SPN-64546                             80
070                  BCU-27839                             84
071                  KMP-52243                            168
072                  TXF-47848                             52
073                  ZXB-54692                            146
074                  KMP-52243                            173
075                  HVE-32966                            163
076                  ANR-65636                             21
077                  KLA-57296                            166
078                  GZN-34688                            114
079                  RGZ-73449                            116
080                  YMA-56284                            158
081                  AJA-56777                            148
082                  KDV-97563                             22
083                  YLW-92835                             70
084                  VJN-37687                             49
085                  QBZ-39849                             38
086                  ANR-65636                            129
087                  RLT-57887                            139
088                  YMA-56284                             44
089                  JYL-79355                             20
090                  XKG-42573                            100
091                  WMD-65834                             56
092                  NHP-43928                            115
093                  BCU-27839                            142
094                  PNF-53949                            183
095                  TNG-52497                             82
096                  CQS-93978                            159
097                  RGZ-73449                            184
098                  TQC-49936                             67
099                  NHP-43928                            169
100                  GBK-45859                            120
