User ID: 20347-83572

Trial                  Virus                             Units
---------------------------------------------------------------
001                  WMD-65834                            145
002                  ZHA-83572                            111
003                  TQC-49936                            162
004                  FYK-67999                             28
005                  ANR-65636                            174
006                  TLT-23593                             68
007                  WQB-83823                             30
008                  NHP-43928                             94
009                  GMS-89977                             59
010                  XBC-95594                            163
011                  FTD-84699                            143
012                  TNX-51117                            173
013                  NWL-28282                            183
014                  TQC-49936                            192
015                  AJA-56777                            184
016                  NVE-67597                            120
017                  NHP-43928                            181
018                  PWT-38779                             16
019                  FNR-28782                             46
020                  BMN-57337                             48
021                  PNF-53949                             25
022                  GMS-89977                            119
023                  GZN-34688                            167
024                  HKZ-33728                            139
025                  TNA-63396                             42
026                  FTD-84699                            106
027                  PQJ-67335                             80
028                  PWT-38779                            113
029                  EFG-46945                            193
030                  XJQ-35789                             64
031                  TNA-63396                            200
032                  HVX-35287                            110
033                  BMN-57337                              6
034                  QBD-79865                             40
035                  PHE-99329                              9
036                  DAU-26394                             87
037                  PWT-38779                            109
038                  YXL-38878                             45
039                  TNG-52497                            114
040                  FYK-67999                             56
041                  YLW-92835                            140
042                  TLT-23593                             57
043                  HKZ-33728                            125
044                  JVL-65247                             27
045                  FNR-28782                             89
046                  ZHA-83572                            138
047                  KMP-52243                             29
048                  CPU-63784                             18
049                  VJN-37687                            195
050                  KLA-57296                            137
051                  BTN-83953                            115
052                  FNR-28782                             17
053                  HVX-35287                             41
054                  SPN-64546                            127
055                  PHE-99329                             97
056                  JPJ-26459                            187
057                  ZKV-31415                             70
058                  KMP-52243                              8
059                  ZPF-96697                            122
060                  RGZ-73449                             13
061                  LNC-68448                            179
062                  PNF-53949                             67
063                  ZXB-54692                             44
064                  WMD-65834                             96
065                  PHE-99329                             76
066                  CPU-63784                             15
067                  YXL-38878                             22
068                  WQM-46249                             10
069                  KMP-52243                            129
070                  XRT-73276                            156
071                  ZKV-31415                            123
072                  KDV-97563                            169
073                  WQM-46249                            126
074                  VJN-37687                             95
075                  LZL-53762                            134
076                  KLA-57296                             35
077                  JYL-79355                            185
078                  ANR-65636                              7
079                  JYL-79355                            102
080                  HZF-45469                              3
081                  YXL-38878                            148
082                  QBD-79865                            191
083                  BTG-65524                            108
084                  PWT-38779                            107
085                  ZXB-54692                            101
086                  EFG-46945                            155
087                  SZA-87265                             90
088                  KMP-52243                            166
089                  NWL-28282                            131
090                  KQA-89952                            172
091                  RGZ-73449                             84
092                  DHY-22445                            164
093                  HKZ-33728                            171
094                  ZXB-54692                            133
095                  CDC-36833                             91
096                  SZA-87265                            146
097                  GMS-89977                             63
098                  WQB-83823                            186
099                  FNR-28782                             83
100                  KQA-89952                             54
