User ID: 26032-51883

Trial                  Virus                             Units
---------------------------------------------------------------
001                  XKG-42573                            119
002                  CQS-93978                            110
003                  PZV-75529                             42
004                  ZHA-83572                            187
005                  TLT-23593                             84
006                  TQC-49936                             22
007                  NWL-28282                            160
008                  FNL-93857                             80
009                  LZL-53762                            145
010                  KLA-57296                             23
011                  XRT-73276                             87
012                  WBB-69295                            109
013                  GMS-89977                            149
014                  ZXB-54692                            101
015                  WQB-83823                            143
016                  NHP-43928                              7
017                  DHY-22445                             30
018                  JPJ-26459                            136
019                  GMS-89977                            102
020                  YXL-38878                            166
021                  AJA-56777                             60
022                  JYL-79355                            106
023                  LNC-68448                             43
024                  ZXB-54692                             10
025                  PNF-53949                             57
026                  AJA-56777                             86
027                  FYK-67999                            177
028                  BMN-57337                            123
029                  KMP-52243                            155
030                  CPU-63784                             67
031                  KLA-57296                            139
032                  TNG-52497                            171
033                  JPJ-26459                             72
034                  LNC-68448                             89
035                  RGZ-73449                            116
036                  NWL-28282                            174
037                  VWM-74278                             34
038                  CCG-95482                             76
039                  WQM-46249                            163
040                  XBC-95594                             74
041                  XKG-42573                             48
042                  BTG-65524                             61
043                  FYK-67999                            129
044                  ZPF-96697                             11
045                  ZKV-31415                             79
046                  EFG-46945                            197
047                  PHE-99329                            164
048                  PNF-53949                             70
049                  LZL-53762                            104
050                  ZXB-54692                            192
051                  RGZ-73449                            176
052                  GZN-34688                             96
053                  HVE-32966                             66
054                  YLW-92835                             31
055                  NWL-28282                            159
056                  HVE-32966                            151
057                  ZPF-96697                            124
058                  WMD-65834                             46
059                  PWT-38779                             41
060                  XKG-42573                             51
061                  GBK-45859                            196
062                  ZXB-54692                            122
063                  HKZ-33728                            184
064                  WQM-46249                             40
065                  CQS-93978                            182
066                  LNC-68448                            167
067                  TRM-27792                             47
068                  VWM-74278                             45
069                  WQB-83823                             13
070                  YBD-67688                             16
071                  LWR-78574                            128
072                  ZPF-96697                             21
073                  TNG-52497                             68
074                  VWM-74278                             73
075                  PNF-53949                            189
076                  EFG-46945                             93
077                  PNF-53949                             97
078                  HCY-32686                             78
079                  BTN-83953                            135
080                  YLW-92835                             39
081                  XBC-95594                             55
082                  TRM-27792                             64
083                  AAV-93236                             91
084                  TLT-23593                             81
085                  CPU-63784                            105
086                  HZF-45469                            134
087                  QBZ-39849                            130
088                  SPN-64546                            150
089                  FNL-93857                             58
090                  VJN-37687                            118
091                  JPJ-26459                             77
092                  GBK-45859                             33
093                  URL-32968                            112
094                  PWT-38779                            157
095                  FNR-28782                            175
096                  WQB-83823                            120
097                  HZF-45469                             94
098                  CCG-95482                             95
099                  XKG-42573                              1
100                  WQM-46249                            190
