User ID: 03335-55237

Trial                  Virus                             Units
---------------------------------------------------------------
001                  TNG-52497                             13
002                  FNR-28782                            156
003                  YBD-67688                            198
004                  LNC-68448                            108
005                  GBK-45859                            181
006                  HKZ-33728                            124
007                  TNX-51117                             12
008                  WQM-46249                            159
009                  BMN-57337                            107
010                  PNF-53949                            130
011                  FNL-93857                             91
012                  CDC-36833                              7
013                  BMN-57337                            177
014                  XJQ-35789                            183
015                  VJN-37687                             10
016                  BCU-27839                             24
017                  PWT-38779                             23
018                  GZN-34688                            150
019                  ZKV-31415                            121
020                  BTN-83953                             95
021                  GBK-45859                             89
022                  PWT-38779                             47
023                  AJA-56777                             21
024                  GBK-45859                             74
025                  NMA-58554                            100
026                  XBC-95594                             90
027                  ZKV-31415                             60
028                  HZF-45469                            166
029                  CCG-95482                            140
030                  YXL-38878                             54
031                  BTN-83953                             28
032                  YXL-38878                             22
033                  CCG-95482                            115
034                  PZV-75529                             49
035                  DHY-22445                             61
036                  HVX-35287                            116
037                  RLT-57887                            142
038                  AJA-56777                            146
039                  JPJ-26459                            190
040                  HNB-76282                            170
041                  BMN-57337                              5
042                  NHP-43928                             80
043                  HCY-32686                            171
044                  YMA-56284                            167
045                  GBK-45859                            139
046                  HCY-32686                            113
047                  BMN-57337                             86
048                  GUJ-74444                            152
049                  URL-32968                             88
050                  NXD-76943                            129
051                  SZA-87265                            164
052                  DAU-26394                             85
053                  HVX-35287                             64
054                  NXD-76943                            169
055                  WMD-65834                             30
056                  KLA-57296                             97
057                  GBK-45859                             27
058                  XKG-42573                            111
059                  KDV-97563                            119
060                  KMP-52243                             52
061                  XJQ-35789                            109
062                  VXR-68924                            134
063                  TNX-51117                             40
064                  AAV-93236                             44
065                  XKG-42573                             43
066                  KDV-97563                            133
067                  LWR-78574                            196
068                  PHE-99329                             93
069                  JYL-79355                             62
070                  XKG-42573                            122
071                  TQC-49936                             65
072                  HVX-35287                             59
073                  WQM-46249                             14
074                  PNF-53949                             68
075                  RGZ-73449                             87
076                  XKG-42573                            162
077                  TRM-27792                             79
078                  QBD-79865                             36
079                  WBB-69295                            103
080                  HVX-35287                             45
081                  ZPF-96697                            123
082                  BMN-57337                             39
083                  HVE-32966                             67
084                  TLT-23593                             53
085                  HKZ-33728                            125
086                  KDV-97563                             55
087                  LWR-78574                            197
088                  DAU-26394                            127
089                  SZA-87265                            126
090                  LZL-53762                            163
091                  PWT-38779                             58
092                  LNC-68448                             63
093                  LZL-53762                             81
094                  KWH-94256                             20
095                  LWR-78574                            105
096                  GUJ-74444                            160
097                  XKG-42573                             76
098                  ZHA-83572                            154
099                  ZXB-54692                            165
100                  XRT-73276                            136
