User ID: 57925-31071

Trial                  Virus                             Units
---------------------------------------------------------------
001                  PHE-99329                            194
002                  AAV-93236                            199
003                  FNL-93857                             83
004                  YXL-38878                            126
005                  GBK-45859                             61
006                  BMN-57337                             37
007                  HVX-35287                              8
008                  XRT-73276                             87
009                  GBK-45859                             97
010                  TNA-63396                            176
011                  TNA-63396                            119
012                  NHP-43928                            153
013                  TNA-63396                             65
014                  HKZ-33728                            120
015                  LNC-68448                              5
016                  BTN-83953                            137
017                  TNG-52497                             14
018                  YXL-38878                             76
019                  LZL-53762                              1
020                  PHE-99329                             78
021                  ZHA-83572                             68
022                  BTG-65524                            178
023                  HKZ-33728                            164
024                  WMD-65834                            103
025                  BTN-83953                             84
026                  NMA-58554                            144
027                  HZF-45469                            112
028                  ANR-65636                            181
029                  ZHA-83572                             82
030                  FNL-93857                            102
031                  ANR-65636                            191
032                  SPN-64546                            160
033                  ANR-65636                            190
034                  BTG-65524                             43
035                  YXL-38878                            156
036                  PQJ-67335                             59
037                  TLT-23593                             64
038                  LZL-53762                            116
039                  KMP-52243                            184
040                  WQM-46249                             29
041                  EFG-46945                             54
042                  HZF-45469                            104
043                  PNF-53949                            106
044                  YBD-67688                             42
045                  BMN-57337                            165
046                  FYK-67999                             39
047                  AJA-56777                            200
048                  NXD-76943                            163
049                  CPU-63784                            139
050                  CDC-36833                            149
051                  WMD-65834                             70
052                  PHE-99329                             95
053                  YMA-56284                            146
054                  PHE-99329                            140
055                  PQJ-67335                            185
056                  PHE-99329                             79
057                  BTN-83953                            145
058                  YMA-56284                              2
059                  BCU-27839                             25
060                  TNG-52497                             85
061                  HKZ-33728                             23
062                  HVX-35287                             94
063                  VJN-37687                            168
064                  NHP-43928                              6
065                  RGZ-73449                             92
066                  KLA-57296                            132
067                  KWH-94256                            100
068                  VJN-37687                             86
069                  PZV-75529                             91
070                  LZL-53762                             28
071                  FTD-84699                             47
072                  TQC-49936                            189
073                  PZV-75529                            187
074                  TNA-63396                            152
075                  HCY-32686                             12
076                  BCU-27839                             93
077                  KQA-89952                             17
078                  CQS-93978                             10
079                  PNF-53949                            196
080                  HNB-76282                            108
081                  BTG-65524                              3
082                  DHY-22445                            128
083                  YXL-38878                             16
084                  SPN-64546                             99
085                  NWL-28282                            179
086                  ANR-65636                             24
087                  YBD-67688                             58
088                  DHY-22445                             53
089                  TXF-47848                              4
090                  DAU-26394                             26
091                  DAU-26394                             52
092                  JPJ-26459                            113
093                  TXF-47848                            101
094                  PQJ-67335                            157
095                  YXL-38878                             45
096                  EPX-87469                            135
097                  SPN-64546                             36
098                  BTG-65524                             89
099                  WQB-83823                            117
100                  KWH-94256                            107
