User ID: 13579-76672

Trial                  Virus                             Units
---------------------------------------------------------------
001                  BTN-83953                             79
002                  KLA-57296                             74
003                  SPN-64546                             40
004                  LZL-53762                            112
005                  KMP-52243                            100
006                  ZXB-54692                            184
007                  XRT-73276                             70
008                  ZXB-54692                            159
009                  WMD-65834                             20
010                  SZA-87265                            122
011                  LNC-68448                            167
012                  WBB-69295                             94
013                  TNX-51117                             77
014                  ANR-65636                            200
015                  TRM-27792                            154
016                  RLT-57887                             97
017                  XKG-42573                             36
018                  LZL-53762                            193
019                  BTG-65524                            165
020                  SZA-87265                            150
021                  XBC-95594                             38
022                  PHE-99329                             66
023                  LWR-78574                            158
024                  NHP-43928                            141
025                  LNC-68448                             22
026                  JVL-65247                            199
027                  BCU-27839                             49
028                  LNC-68448                            166
029                  XKG-42573                             18
030                  CPU-63784                            181
031                  XJQ-35789                             64
032                  BMN-57337                             93
033                  TXF-47848                            130
034                  TLT-23593                            147
035                  XRT-73276                            134
036                  LWR-78574                             44
037                  GUJ-74444                            115
038                  TNX-51117                            176
039                  GMS-89977                            101
040                  BTN-83953                             73
041                  CCG-95482                            133
042                  PWT-38779                            105
043                  URL-32968                             27
044                  JPJ-26459                             31
045                  TNA-63396                            169
046                  AJA-56777                            108
047                  AJA-56777                            195
048                  NXD-76943                             99
049                  DHY-22445                             56
050                  NXD-76943                             58
051                  WMD-65834                             57
052                  WBB-69295                             52
053                  DAU-26394                            136
054                  KLA-57296                            140
055                  KMP-52243                            196
056                  ZXB-54692                            129
057                  NXD-76943                              9
058                  YLW-92835                            151
059                  EPX-87469                            126
060                  ZXB-54692                              6
061                  ZKV-31415                             87
062                  PHE-99329                             33
063                  PQJ-67335                            186
064                  KDV-97563                              4
065                  CPU-63784                             62
066                  NXD-76943                            135
067                  PQJ-67335                            117
068                  CPU-63784                             12
069                  WMD-65834                            185
070                  PWT-38779                            170
071                  CDC-36833                            172
072                  YBD-67688                            190
073                  JPJ-26459                            153
074                  GMS-89977                             30
075                  VXR-68924                            121
076                  TRM-27792                             86
077                  XKG-42573                            157
078                  KWH-94256                            163
079                  QBD-79865                            198
080                  VXR-68924                            102
081                  YLW-92835                             92
082                  NMA-58554                             84
083                  GMS-89977                            137
084                  JVL-65247                            123
085                  RLT-57887                             29
086                  JPJ-26459                            127
087                  KWH-94256                             68
088                  CPU-63784                             41
089                  AAV-93236                             82
090                  VXR-68924                             75
091                  VWM-74278                            145
092                  SZA-87265                            171
093                  PNF-53949                             80
094                  ZPF-96697                             51
095                  WMD-65834                            111
096                  EPX-87469                             76
097                  XRT-73276                             46
098                  HNB-76282                             24
099                  JYL-79355                             28
100                  AJA-56777                             90
