User ID: 73632-00344

Trial                  Virus                             Units
---------------------------------------------------------------
001                  JVL-65247                            114
002                  GUJ-74444                            166
003                  BCU-27839                             59
004                  NWL-28282                             10
005                  RGZ-73449                            149
006                  LNC-68448                              3
007                  TRM-27792                            188
008                  KMP-52243                             83
009                  WQM-46249                             74
010                  NHP-43928                             76
011                  NMA-58554                            162
012                  JPJ-26459                            137
013                  WMD-65834                              9
014                  HZF-45469                              4
015                  XBC-95594                            160
016                  FYK-67999                             61
017                  RGZ-73449                             39
018                  HKZ-33728                             62
019                  HKZ-33728                              7
020                  VWM-74278                             49
021                  WMD-65834                             93
022                  PNF-53949                            180
023                  PHE-99329                             92
024                  URL-32968                             84
025                  CQS-93978                             50
026                  RGZ-73449                            139
027                  ANR-65636                            171
028                  YMA-56284                            151
029                  HVE-32966                            200
030                  GBK-45859                            120
031                  TNG-52497                            198
032                  CQS-93978                             85
033                  LWR-78574                             81
034                  SZA-87265                            101
035                  NVE-67597                             90
036                  CQS-93978                             67
037                  WQM-46249                             21
038                  BMN-57337                            168
039                  LZL-53762                            191
040                  EFG-46945                             26
041                  EFG-46945                            115
042                  TRM-27792                            183
043                  PWT-38779                             57
044                  YLW-92835                            155
045                  URL-32968                            112
046                  CCG-95482                             78
047                  KQA-89952                             25
048                  TNX-51117                            172
049                  YLW-92835                             27
050                  GBK-45859                             52
051                  TNX-51117                             35
052                  BCU-27839                             72
053                  YBD-67688                             98
054                  CDC-36833                            182
055                  WQM-46249                             28
056                  TQC-49936                            165
057                  LWR-78574                            153
058                  TNX-51117                             30
059                  JPJ-26459                            157
060                  TNX-51117                            175
061                  NVE-67597                            186
062                  TXF-47848                             91
063                  YMA-56284                            159
064                  TRM-27792                            184
065                  ANR-65636                            110
066                  TLT-23593                             64
067                  AJA-56777                            141
068                  HVX-35287                            161
069                  GBK-45859                            123
070                  CDC-36833                             11
071                  DAU-26394                             66
072                  TQC-49936                             42
073                  ZXB-54692                             69
074                  CPU-63784                             77
075                  TQC-49936                             65
076                  DHY-22445                              8
077                  WQM-46249                             17
078                  TNA-63396                            163
079                  TNX-51117                             60
080                  HZF-45469                            143
081                  VJN-37687                            167
082                  AAV-93236                             79
083                  HVE-32966                              5
084                  NWL-28282                            147
085                  AJA-56777                            192
086                  BTN-83953                            164
087                  FNL-93857                            126
088                  CPU-63784                            127
089                  YBD-67688                            156
090                  VJN-37687                            116
091                  URL-32968                            142
092                  ZHA-83572                             99
093                  ZKV-31415                            113
094                  CQS-93978                             31
095                  JPJ-26459                             32
096                  CPU-63784                             23
097                  JPJ-26459                             22
098                  FNL-93857                             89
099                  YMA-56284                             14
100                  LZL-53762                            111
