User ID: 17415-55660

Trial                  Virus                             Units
---------------------------------------------------------------
001                  VJN-37687                            158
002                  JVL-65247                             23
003                  LZL-53762                            197
004                  TLT-23593                            145
005                  HZF-45469                            149
006                  ZKV-31415                              5
007                  BCU-27839                             51
008                  ZPF-96697                             17
009                  DHY-22445                             95
010                  XRT-73276                             69
011                  TNA-63396                            192
012                  PNF-53949                            194
013                  KMP-52243                             61
014                  DAU-26394                             22
015                  DHY-22445                            159
016                  GUJ-74444                            193
017                  NMA-58554                             14
018                  HNB-76282                             59
019                  VWM-74278                             75
020                  GUJ-74444                             37
021                  TLT-23593                            122
022                  PNF-53949                             30
023                  FYK-67999                            112
024                  GZN-34688                             76
025                  PQJ-67335                            199
026                  PNF-53949                             72
027                  XKG-42573                             88
028                  HCY-32686                            200
029                  PHE-99329                             99
030                  WQB-83823                             31
031                  EPX-87469                             34
032                  TNG-52497                            154
033                  YLW-92835                            151
034                  KQA-89952                            116
035                  TRM-27792                            164
036                  PNF-53949                             80
037                  XRT-73276                            104
038                  LWR-78574                            188
039                  KMP-52243                             38
040                  PZV-75529                            167
041                  KMP-52243                            170
042                  NHP-43928                            133
043                  SZA-87265                             29
044                  CPU-63784                            127
045                  FYK-67999                             26
046                  TRM-27792                             58
047                  PNF-53949                              4
048                  BTN-83953                            137
049                  ZXB-54692                            156
050                  HZF-45469                            129
051                  TNA-63396                            135
052                  NHP-43928                            117
053                  TLT-23593                             91
054                  ZKV-31415                            147
055                  GBK-45859                            190
056                  PZV-75529                             57
057                  LWR-78574                             39
058                  XJQ-35789                            161
059                  LWR-78574                            150
060                  PZV-75529                             19
061                  BTN-83953                            136
062                  FNL-93857                             63
063                  QBD-79865                            103
064                  FYK-67999                             36
065                  HCY-32686                             49
066                  LNC-68448                            130
067                  TLT-23593                            120
068                  HCY-32686                            180
069                  HZF-45469                             92
070                  CCG-95482                             83
071                  NWL-28282                            126
072                  PZV-75529                            181
073                  NHP-43928                            178
074                  YLW-92835                             67
075                  ZKV-31415                            113
076                  CCG-95482                            183
077                  ZXB-54692                             71
078                  RLT-57887                            138
079                  TNX-51117                             66
080                  JVL-65247                              6
081                  NMA-58554                            132
082                  PZV-75529                             32
083                  CCG-95482                             50
084                  NMA-58554                             70
085                  LWR-78574                            185
086                  XJQ-35789                            121
087                  WBB-69295                              1
088                  XJQ-35789                            196
089                  TLT-23593                             41
090                  FTD-84699                            144
091                  JVL-65247                              8
092                  ANR-65636                              2
093                  BTN-83953                            177
094                  KLA-57296                             55
095                  ZXB-54692                            134
096                  XKG-42573                             64
097                  QBZ-39849                            110
098                  NWL-28282                            139
099                  TRM-27792                             60
100                  BMN-57337                            186
