User ID: 68186-76013

Trial                  Virus                             Units
---------------------------------------------------------------
001                  SZA-87265                             47
002                  CPU-63784                             92
003                  CCG-95482                             13
004                  JVL-65247                            118
005                  NVE-67597                            150
006                  QBD-79865                             36
007                  KQA-89952                            133
008                  KDV-97563                              1
009                  CCG-95482                             80
010                  HNB-76282                             50
011                  KQA-89952                            189
012                  SZA-87265                             94
013                  HCY-32686                            159
014                  JYL-79355                            199
015                  YBD-67688                             31
016                  GZN-34688                             64
017                  CPU-63784                             51
018                  FNL-93857                             33
019                  ZHA-83572                            188
020                  ZKV-31415                             22
021                  HZF-45469                             68
022                  SZA-87265                             11
023                  VJN-37687                             58
024                  TLT-23593                             10
025                  GMS-89977                             48
026                  NXD-76943                             90
027                  RLT-57887                             24
028                  VXR-68924                            152
029                  XJQ-35789                            156
030                  TQC-49936                            178
031                  PWT-38779                            153
032                  LZL-53762                             79
033                  VXR-68924                            134
034                  WQB-83823                            163
035                  NWL-28282                             60
036                  YXL-38878                            167
037                  PWT-38779                             65
038                  ZXB-54692                             46
039                  NHP-43928                            119
040                  XKG-42573                            146
041                  RGZ-73449                             84
042                  JPJ-26459                            132
043                  TNA-63396                            130
044                  DAU-26394                            190
045                  JVL-65247                             75
046                  YLW-92835                             57
047                  LWR-78574                             30
048                  TRM-27792                             40
049                  JVL-65247                            175
050                  HVE-32966                             86
051                  HCY-32686                             76
052                  VWM-74278                            158
053                  LNC-68448                            127
054                  SPN-64546                            100
055                  YXL-38878                            120
056                  CCG-95482                            142
057                  HVE-32966                            168
058                  JPJ-26459                             35
059                  LZL-53762                            172
060                  FYK-67999                             29
061                  HCY-32686                             21
062                  PZV-75529                              2
063                  FTD-84699                            171
064                  TNA-63396                            117
065                  YMA-56284                            200
066                  AAV-93236                            187
067                  PNF-53949                            131
068                  URL-32968                             95
069                  WMD-65834                            124
070                  SZA-87265                            197
071                  HVX-35287                              4
072                  QBD-79865                             38
073                  YBD-67688                            126
074                  BCU-27839                            147
075                  ZXB-54692                             72
076                  SPN-64546                            154
077                  ZHA-83572                             14
078                  KWH-94256                             83
079                  FYK-67999                            137
080                  DAU-26394                            157
081                  TNG-52497                             62
082                  HVE-32966                            182
083                  KDV-97563                             63
084                  FTD-84699                             20
085                  WMD-65834                             99
086                  NWL-28282                            149
087                  HNB-76282                            114
088                  DHY-22445                            191
089                  NVE-67597                             88
090                  PWT-38779                              9
091                  CCG-95482                             87
092                  BTG-65524                             77
093                  HVX-35287                            138
094                  XJQ-35789                            164
095                  CCG-95482                            104
096                  KMP-52243                             52
097                  BCU-27839                            160
098                  BCU-27839                            177
099                  ZXB-54692                             18
100                  XBC-95594                             54
