User ID: 30575-77344

Trial                  Virus                             Units
---------------------------------------------------------------
001                  TNA-63396                             91
002                  NVE-67597                             57
003                  WQB-83823                             16
004                  XBC-95594                            127
005                  XKG-42573                            164
006                  ANR-65636                            183
007                  JPJ-26459                            108
008                  TNX-51117                              5
009                  VWM-74278                             46
010                  BCU-27839                            116
011                  NWL-28282                            110
012                  LWR-78574                             68
013                  WQM-46249                             89
014                  BCU-27839                            155
015                  PWT-38779                             38
016                  WBB-69295                             95
017                  XJQ-35789                            104
018                  AAV-93236                            152
019                  TNG-52497                            182
020                  ZPF-96697                            159
021                  SZA-87265                             32
022                  KQA-89952                             87
023                  JPJ-26459                            178
024                  PWT-38779                            179
025                  HVE-32966                            156
026                  FNL-93857                             98
027                  LWR-78574                             56
028                  PWT-38779                             40
029                  VWM-74278                            141
030                  GBK-45859                            139
031                  FNR-28782                            103
032                  WQB-83823                             51
033                  NHP-43928                            174
034                  JYL-79355                            158
035                  BCU-27839                            143
036                  FNL-93857                            189
037                  KDV-97563                            147
038                  RLT-57887                            131
039                  TQC-49936                             18
040                  FTD-84699                            150
041                  FTD-84699                             97
042                  NXD-76943                              3
043                  TLT-23593                             53
044                  JVL-65247                             73
045                  WQM-46249                             63
046                  GBK-45859                            102
047                  EFG-46945                            138
048                  HNB-76282                             23
049                  AAV-93236                            195
050                  DHY-22445                            123
051                  XBC-95594                            101
052                  BMN-57337                            166
053                  ANR-65636                             64
054                  PWT-38779                             72
055                  ZKV-31415                            157
056                  XBC-95594                            188
057                  LWR-78574                             10
058                  GMS-89977                            125
059                  PZV-75529                            161
060                  GUJ-74444                             34
061                  KMP-52243                            112
062                  TXF-47848                             37
063                  AJA-56777                             43
064                  GZN-34688                             36
065                  GZN-34688                             13
066                  LZL-53762                             65
067                  VWM-74278                             78
068                  TLT-23593                             58
069                  HZF-45469                             77
070                  FYK-67999                             47
071                  YMA-56284                             22
072                  KLA-57296                            154
073                  SPN-64546                            160
074                  ZPF-96697                             26
075                  XRT-73276                             52
076                  RGZ-73449                            132
077                  NWL-28282                            153
078                  TNX-51117                            124
079                  YXL-38878                              8
080                  ANR-65636                            186
081                  AAV-93236                            200
082                  ZKV-31415                            115
083                  HNB-76282                            149
084                  ANR-65636                             50
085                  WMD-65834                            193
086                  NVE-67597                             48
087                  RGZ-73449                             92
088                  HKZ-33728                             14
089                  EPX-87469                             74
090                  ANR-65636                            168
091                  CQS-93978                            148
092                  JYL-79355                              9
093                  TQC-49936                            129
094                  BCU-27839                            100
095                  WQB-83823                             30
096                  PNF-53949                            146
097                  DHY-22445                             59
098                  VJN-37687                            106
099                  URL-32968                            151
100                  EFG-46945                             99
